view,EER,AUC,accuracy_at_tau0,score_corr_with_original,prediction_disagreement_with_original,bonafide_disagreement,spoof_disagreement,count
view0,0.09857072449482504,0.9633087850193088,0.4367526746381372,1.0,0,0,0,3178
view1,0.1392515230635335,0.9337281309609444,0.48206419131529266,0.8642366685384442,310,302,8,3178
view2,0.09906357811729916,0.9632178494510194,0.43769666456891126,0.9996623675452426,17,17,0,3178
