method,EER,AUC,mean_signed_task_delta,bonafide_mean_signed_delta,spoof_mean_signed_delta,helpful_flips,harmful_flips,adaptation_coverage,safety_reject_rate,mean_abs_delta_score
pseudo_teacher,0.09921671018276768,0.963367549985609,-0.020624405451826963,0.008801166208698691,-0.07258653330144102,0,0,0.32599118942731276,0.18502202643171806,0.03202618875401886
oracle_teacher,0.0948651000870322,0.9676659713527224,0.026228238253510172,0.08218593786742782,-0.07258653330144102,0,0,0.44556324732536184,0.06544996853366897,0.07884477776380888
