variant,EER,AUC,balanced_accuracy,FPR,FNR,mean_signed_task_delta,bonafide_signed_delta,spoof_signed_delta,helpful_flips,harmful_flips,adaptation_coverage,abstention_rate,safety_reject_rate,mean_abs_delta_score,numeric_fallback_count,accepted_source_flips
Frozen,0.09980430528375739,0.9629127635969498,0.559847660500544,0.8803046789989118,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
CalOnly,0.09980430528375739,0.9629127635969498,0.827264277303033,0.3307943416757345,0.014677103718199608,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
SourceTauTeacher,0.09980430528375739,0.9630596943414628,0.559847660500544,0.8803046789989118,0.0,-0.02088310681283474,0.009015786180817912,-0.07465430575836661,0,0,0.32062937062937064,0.4944055944055944,0.18496503496503497,0.03262152367799016,0,0
CalibratedTeacher-NoSelect,0.09980430528375739,0.9631166566228501,0.827264277303033,0.3307943416757345,0.014677103718199608,0.14862580830817457,0.2741656004085375,-0.07714927768054074,0,0,0.7402097902097902,0.0,0.2597902097902098,0.20401022990683576,0,0
CalibratedSelective,0.09980430528375739,0.963097491743131,0.827264277303033,0.3307943416757345,0.014677103718199608,0.1384015082270949,0.2575500793957736,-0.0758793859099222,0,0,0.7073426573426573,0.18006993006993008,0.11258741258741259,0.1928783568260553,0,0
OracleTeacher,0.09686888454011744,0.9678690144354133,0.827808346943947,0.3297062023939064,0.014677103718199608,0.16681926467462435,0.29953191232775317,-0.07185573178961319,2,0,0.7678321678321678,0.18006993006993008,0.0520979020979021,0.21838682173275864,0,0
