method,status,EER,AUC,balanced_accuracy_at_tau0,FPR,FNR,delta_EER_vs_frozen,delta_AUC_vs_frozen,mean_signed_delta_total,mean_signed_delta_norm,mean_signed_delta_update,mean_abs_delta_total,mean_abs_delta_norm,mean_abs_delta_update,adaptation_coverage,runtime_per_sample,numeric_failure,resource_failure,PORT_VALID,GAIN,HARM
Frozen,SCORED,0.09857072449482504,0.9633087850193088,0.558896007885658,0.8822079842286841,0.0,0.0,0.0,,,,,,,,,,,True,,
NormOnly,SCORED,0.16187989556135773,0.9220090240683286,0.5,1.0,0.0,0.06160351655421346,-0.04135985278355808,-4.43750013604929,-4.43750013604929,0.0,5.475489760751972,5.475489760751972,0.0,1.0,0.0210798252893004,0,0,True,False,True
TENT,SCORED,0.1626416954164613,0.9211687279443714,0.5,1.0,0.0,0.06275983903533391,-0.042203110268602066,-4.468926527236733,-4.43750013604929,-0.031426391187443385,5.567921678566704,5.475489760751972,0.09289488348291684,1.0,0.0657910358126502,0,0,True,False,True
SAR,SCORED,0.16187989556135773,0.9220098819510484,0.5,1.0,0.0,0.06160351655421346,-0.041358980763493716,-4.437502526011742,-4.43750013604929,-2.389962452623813e-06,5.4754942108069935,5.475489760751972,9.00266454083279e-06,1.0,0.11512179339737443,0,0,True,False,True
MEMO,SCORED,0.13664055700609223,0.9295583920017878,0.8560876001202751,0.24691966485953673,0.040905134899912966,0.03711422793173604,-0.03372668916846946,0.4568895437292253,-4.343306346836894e-06,0.45689388703557215,1.835725291417015,1.8707252077669223e-05,1.8357220977132165,1.0,0.17625023828155775,0,0,True,False,True
