metric,value
tau0,-4.770049095153809
tau_target_eer,2.7059133052825928
tau_target_balacc,2.857470989227295
frozen_balanced_accuracy,0.558896007885658
oracle_bias_balanced_accuracy,0.9020186409336166
frozen_fpr,0.8822079842286841
oracle_bias_fpr,0.0941350418925579
frozen_accuracy,0.4367526746381372
target_eer,0.09857072449482504
target_auc,0.9633087850193088
source_reference_eer,0.0002934272300469942
source_reference_auc,0.9999903092389463
affine_a,0.6789372576726416
affine_b,-1.6996208278937983
class_separation_source,10.762604394415938
class_separation_target,7.316442287963238
midpoint_shift,0.5897526368956438
