method,EER,AUC,accuracy_at_tau0,mean_signed_task_delta,bonafide_mean_signed_delta,spoof_mean_signed_delta,helpful_flips,harmful_flips,adaptation_coverage,abstain_count,source_safety_reject_rate,mean_R_norm,mean_abs_delta_score,numeric_fallback_count
frozen,0.09857072449482504,0.9633087850193088,0.4367526746381372,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
taskaware_full,0.09921671018276768,0.963367549985609,0.4367526746381372,-0.020624405451826963,0.008801166208698691,-0.07258653330144102,0,0,0.32599118942731276,1554,0.18502202643171806,0.004532672614012709,0.03202618875401886,0
taskaware_no_gate,0.09921671018276768,0.963367549985609,0.4367526746381372,0.011991191050535931,0.059886610114321795,-0.07258653330144102,0,0,0.4011957205789805,0,0.5988042794210195,0.008292899242866594,0.06464178525638176,0
taskaware_no_source_keep,0.09834638816362051,0.9630273994872435,0.4367526746381372,-0.013096616900589872,0.0013630328770633281,-0.03863067207801228,0,0,0.25739458779106356,1554,0.25361862806796726,0.001966490294342361,0.01495262605353224,0
taskaware_control,0.09834638816362051,0.9633040666643504,0.4367526746381372,-0.00208385417658702,0.00015018807660775445,-0.0060289122546829275,0,0,0.9977973568281938,0,0.0,0.0007417253305709387,0.002690929162232211,0
